geonameid;name;latitude;longitude;countrycode;population;timezone;admin1code;alternatenames;continentcode
3183875;Tirana;41.3275;19.81889;AL;418495;Europe/Tirane;50;['TIA', 'Terana', 'Theranda', 'Tiorana', 'Tiorána', 'Tiran', 'Tiran khot', 'Tiran-a', 'Tirana', 'Tiranae', 'Tirane', 'Tirano', 'Tiranë', 'Tirāna', 'Trnava', 'Tyrana', 'Tyranna', 'Tírana', 'Tîrana', 'Tėrana', 'de la na', 'tilana', 'tirana', 'tyrana', 'tyrnh', 'Τίρανα', 'Тиран хот', 'Тиранæ', 'Тирана', 'Тиране', 'Трнава', 'Тырана', 'Տիրանա', 'טיראנא', 'טירנה', 'تىرانا', 'تيرانا', 'تیرانا', 'तिराना', 'তিরানা', 'ਤਿਰਾਨਾ', 'ଟିରାନା', 'டிரானா', 'ടിറാന', 'ติรานา', 'ཐིས་རན།', 'ტირანა', 'ቲራና', 'ティラナ', '地拉那', '티라나'];EU
3184081;Shkodër;42.06828;19.51258;AL;88245;Europe/Tirane;49;['Iskodra', 'Scutari', 'Shkoder', 'Shkodra', 'Shkodër', 'Skadar', 'Skodra', 'Szkodra', 'sqwdr', 'İşkodra', 'Škodra', 'Скадар', 'Шкодер', 'Шкодра', 'שקודר'];EU
3184517;Patos Fshat;40.64278;19.65083;AL;22679;Europe/Tirane;44;['Patos Fshat', 'Patosi Fshat'];EU
3184518;Patos;40.68333;19.61944;AL;16000;Europe/Tirane;44;['Pahtosa', 'Pahtosi', 'Patos', 'Patosi', 'Patosis', 'pa tu si', 'Патос', '帕圖斯'];EU
3184862;Lushnjë;40.94194;19.705;AL;41469;Europe/Tirane;44;['Liusne', 'Liušnė', 'Ljushna Cod a Gomares', 'Ljushnja', 'Ljusnje', 'Ljušnje', 'Lousnia', 'Lushne', 'Lushnja', 'Lushnje', 'Lushnjë', 'Lusnje', 'Lušnje', 'lu shen nie', 'lusyunyeo', 'lwshnyh', 'rushunya', 'Лушње', 'Люшня', 'لوشنيه', 'لوشنیہ', 'ルシュニャ', '卢什涅', '루슈녀'];EU
3184935;Lezhë;41.78361;19.64361;AL;18695;Europe/Tirane;48;['Alessio', 'Les', 'Lesh', 'Leshe', 'Leshi', 'Leska', 'Leze', 'Lezh', 'Lezha', 'Lezhe', 'Lezhë', 'Leş', 'Ležė', 'Lisi', 'Ljes', 'Ljesh', 'Lješ', 'Lyesh', 'lai shen', 'lejeo', 'lezha', 'lzhh', 'Љеш', 'Лежа', 'Леска', 'لژه', 'لژہ', 'ლეჟა', '莱什', '레저'];EU
3185012;Laç;41.63556;19.71306;AL;24825;Europe/Tirane;48;['Lac', 'Lach', 'Lachi', 'Laci', 'Lak', 'Latsch', 'Laç', 'Laçi', 'Liacis', 'Liačis', 'Ljach', 'la qi', 'lasy', 'Лак', 'Лач', 'Лачі', 'Ляч', 'لاسی', '拉奇'];EU
3185082;Krujë;41.50917;19.79278;AL;21286;Europe/Tirane;42;['Akcehisar', 'Akçehisar', 'Croia', 'Cruja', 'Krna', 'Kroia', 'Kroja', 'Kroya', 'Kroïa', 'Krue', 'Krueja', 'Kruja', 'Kruje', 'Krujë', 'Круе'];EU
3185211;Kavajë;41.18556;19.55694;AL;29354;Europe/Tirane;50;['Cavaia', 'Cavaja', 'Kavaia', 'Kavaj', 'Kavaja', 'Kavaje', 'Kavajë', 'Kavajė', 'Kavalye', 'Kavaya', 'Kavaïa', 'Kawaja', 'ka wa ya', 'kabayeo', 'kawayh', 'Кавайе', 'Кавая', 'Каваја', 'کاوایه', 'کاوایہ', '卡瓦亚', '카바여'];EU
3185670;Fier-Çifçi;40.71667;19.56667;AL;60995;Europe/Tirane;44;[''];EU
3185672;Fier;40.72389;19.55611;AL;56297;Europe/Tirane;44;"['Fearica', 'Fier', 'Fieri', 'Fieris', 'Fijer', 'Fjer', 'Fjeri', ""a pha'ira"", 'fei xia er', 'fieru', 'fyr', 'pieleu', 'Фиер', 'Фиери', 'Фієрі', 'Фјер', 'فیر', 'अ फाइर', 'フィエル', '非夏爾', '피에르']";EU
3185728;Durrës;41.32355;19.45469;AL;122034;Europe/Tirane;42;['DUH', 'Drac', 'Drach', 'Drač', 'Duraso', 'Durazo', 'Durazzo', 'Durazzu', 'Durehs', 'Dures', 'Duresi', 'Duresis', 'Durrazo', 'Durres', 'Durresa', 'Durresi', 'Durrsi', 'Durrës', 'Durrësi', 'Durts', 'Durus', 'Durz', 'Durësi', 'Dyrrachio', 'Dyrrachium', 'Dyrrakhion', 'Dyrrhachium', 'Epidamnos', 'dou la si', 'dourasu', 'draj', 'dras', 'duleoseu', 'duresi', 'durres', 'dwrs', 'Δυρράχιο', 'Драч', 'Дуррес', 'Дуръс', 'Дурэс', 'דורס', 'دراج', 'دراس', 'ดูร์เรส', 'დურესი', 'ドゥラス', '都拉斯', '두러스'];EU
3186084;Berat;40.70583;19.95222;AL;46866;Europe/Tirane;40;['Belgrad', 'Beligrad', 'Berat', 'Berati', 'Beration', 'Beratis', 'Berta', 'Bərat', 'Lezskigrad', 'Verati', 'Veration', 'belateu', 'berato', 'brat', 'byrat', 'pei la te', 'Μπεράτ', 'Белград', 'Берат', 'Բերատ', 'בראט', 'برات', 'بیرات', 'ბერატი', 'ベラト', '培拉特', '베라트'];EU
2761164;Wilten;47.25829;11.38808;AT;18142;Europe/Vienna;07;[''];EU
2761353;Wiener Neustadt;47.80485;16.23196;AT;44820;Europe/Vienna;03;['Becko Novo Mjesto', 'Becsujhely', 'Becsujvaros', 'Bečko Novo Mjesto', 'Bécsújhely', 'Bécsújváros', 'Dunajsko Novo mesto', 'Nemet-Ujhely', 'Nova civitas Vindobonensis', 'Német-Újhely', 'Videnske Nove Mesto', 'Viedenske Nove Mesto', 'Viedenské Nové Mesto', 'Viner Noistat', 'Viner Nojshhat', 'Viner Nojshtat', 'Viner-Nojshtadt', 'Viner-Nojstadt', 'Vyner Noistatas', 'Vyner Noištatas', 'Vídeňské Nové Město', 'Weana Neistod', 'Wiener Neustadt', 'Wr. Neustadt', 'bineonoisyutateu', 'fynr nwyshtat', 'wei ye na xin cheng', 'wynr nwyshtat', 'wynr nwystt', 'Βίνερ Νόιστατ', 'Винер Нойщат', 'Винер Нојштат', 'Винер-Нойштадт', 'Вінер-Нойштадт', 'וינר נוישטט', 'فينر نويشتات', 'وینر نویشتات', 'وینر نیوشٹڈ', 'ვინერ-ნოიშტადტი', 'ウィーナー・ノイシュタット', '維也納新城', '비너노이슈타트'];EU
2761369;Vienna;48.20849;16.37208;AT;1691468;Europe/Vienna;09;"['Bec', 'Bech', 'Becs', 'Beç', 'Beč', 'Bienne', 'Bécs', 'Dunaj', 'Fiena', 'VIE', 'Vena', 'Viden', ""Viden'"", 'Vieden', 'Viedeň', 'Viena', 'Vienna', 'Vienne', 'Vieno', 'Viin', 'Vin', 'Vinarborg', 'Vindobona', 'Viyana', 'Vídeň', 'Vín', 'Vínarborg', 'Wenen', 'Wieden', 'Wiedeń', 'Wien', 'bienna', 'bin', 'fyyna', 'wei ye na', 'weiynna', 'Βιέννη', 'Беч', 'Вена', 'Виена', 'Відень', 'فيينا', 'เวียนนา', 'ቪየና', '維也納', '비엔나', '빈']";EU
2761436;Wetzelsdorf;47.05293;15.39923;AT;15687;Europe/Vienna;06;['Wetzelsdorf'];EU
2761524;Wels;48.16667;14.03333;AT;16857;Europe/Vienna;04;"['Ovilava', ""Vel's"", 'Wels', 'wls', 'Вельс', 'ולס']";EU
2761669;Weinzierl bei Krems;48.4;15.6;AT;24092;Europe/Vienna;03;['Weinzierl', 'Weinzierl bei Krems'];EU
2762372;Villach;46.61028;13.85583;AT;58882;Europe/Vienna;02;['Beljak', 'Filachas', 'Filakh', 'Fillach', 'Fillaha', 'Fillakh', 'QVL', 'Santicum', 'Vilac', 'Villach', 'Villaco', 'fei la he', 'fil lakh', 'firahha', 'fylakh', 'pilakhi', 'pillaheu', 'pylʼk', 'wylakh', 'Φίλλαχ', 'Филах', 'Филлах', 'Філах', 'Філлах', 'פילאך', 'فیلاخ', 'ویلاخ', 'ฟิลลาค', 'ფილახი', 'フィラッハ', '菲拉赫', '필라흐'];EU
2763810;Telfs;47.30707;11.06817;AT;15229;Europe/Vienna;07;"[""Tel'fs"", 'Telfs', 'tai er fu si', 'tlfs', 'tlps', 'Телфс', 'Тельфс', 'טלפס', 'تلفس', 'ტელფსი', '泰爾夫斯']";EU
2764178;Straßgang;47.03333;15.4;AT;16268;Europe/Vienna;06;['Strassgang', 'Straßgang'];EU
2764279;Stockerau;48.38333;16.21667;AT;16292;Europe/Vienna;03;['Shhokerau', 'Shtokerau', 'Shtokkerau', 'Stockerau', 'Stokerau', 'astwkrayw', 'shi tuo ke lao', 'Štokerau', 'Штокерау', 'Штоккерау', 'Щокерау', 'שטוקראו', 'استوکرائو', 'შტოკერაუ', 'ስቶከራው', '施托克勞'];EU
2764359;Steyr;48.04274;14.42127;AT;38331;Europe/Vienna;04;['Shhajr', 'Shtajr', 'Stagier', 'Steiras', 'Steyer', 'Steyr', 'Steyr Stadt', 'ashtayr', 'shi tai er', 'shutaia', 'styyr', 'syutaieo', 'Šteiras', 'Στάγιερ', 'Штайр', 'Штајр', 'Щайр', 'שטייר', 'اشتایر', 'შტაირი', 'シュタイアー', '施泰爾', '슈타이어'];EU
2765028;Simmering;48.18333;16.43333;AT;101420;Europe/Vienna;09;['Simmering'];EU
2766429;Sankt Pölten;48.2;15.63333;AT;21911;Europe/Vienna;03;"['Cetium', 'POK', 'Poelten', 'Pölten', 'Saint Poelten', 'Saint Pölten', ""Sankt P'olten"", 'Sankt Pelten', 'Sankt Peltenas', 'Sankt Poelten', 'Sankt Polten', 'Sankt Polton', 'Sankt Pölten', 'Sankt Pölton', ""Sankt-Pel'ten"", ""Sankt-Pjol'tehn"", ""Sankt-Pjol'ten"", 'Sankt-Pyolten', 'Sanktpeltene', 'St. Poelten', 'St. Poetn', 'St. Pölten', 'St. Pötn', 'Sveti Hipolit', ""Zan'kt Pelten"", 'jangkeuteupoelten', 'jankta pyoltana', 'sang th pheil thein', 'sheng pa er teng', 'snqt pltn', 'zankt pwltn', 'Ζανκτ Πέλτεν', 'Санкт Пелтен', 'Санкт Пьолтен', 'Санкт-Пельтен', 'Санкт-Пёльтен', 'Санкт-Пёльтэн', 'סנקט פלטן', 'زانکت پولتن', 'سینکت پولٹن', 'जांक्ट प्योल्टन', 'ซังท์เพิลเทิน', 'სანქტ-პელტენი', 'ザンクト・ペルテン', '聖帕爾滕', '장크트푈텐']";EU
2766446;Sankt Peter;47.05;15.46667;AT;15187;Europe/Vienna;06;['Sankt Peter', 'Sankt Peter bei Graz'];EU
2766447;Sankt Peter;46.62978;14.34016;AT;20320;Europe/Vienna;02;['10.Bezirk', 'Klagenfurt 10.Bez.:St. Peter', 'St. Peter-Welzenegg'];EU
2766522;Sankt Martin;46.61667;14.28333;AT;20000;Europe/Vienna;02;['Sankt Martin', 'Smartin pri Celovcu- Otoce', 'St. Martin-Waidmannsdorf', 'XII St. Martin', 'Šmartin pri Celovcu- Otoče'];EU
2766824;Salzburg;47.79941;13.04399;AT;157245;Europe/Vienna;05;"['Estado de Salzburgo', 'Ijolati Zaltsburg', 'Lungsod ng Salzburg', 'SZG', 'Saizburg', 'Salcburg', 'Salcburk', 'Salisburgh', 'Salisburgium', 'Salisburgo', 'Salisburgu', 'Salisburgum', 'Saltsmpournk', 'Saltzburg', 'Salzborg', 'Salzbourg', 'Salzburg', 'Salzburgi liidumaa', 'Salzburgo', 'Salzbursko', 'Sałisburgo', 'Såizburg', ""Zal'cburg"", 'Zalcburg', 'Zalcburga', 'Zalcburgas', 'Zaltsburq', 'chai er ci bei ge', 'jalcheubuleukeu', 'jaltsaburga', 'sa er ci bao', 'sa er si bao', 'salajaburga', 'saljhabarga', 'sals bur k', 'salzaborga', 'salzbrg', 'salzbwrgh', 'zaltsburgi', 'zaltsbwrg', 'zarutsuburuku', 'zlzbwrg', 'Σάλτσμπουργκ', 'Залцбург', 'Зальцбург', 'Иёлати Залтсбург', 'Салцбург', 'Զալցբուրգ', 'זאלצבורג', 'זלצבורג', 'زالتسبورگ', 'سالزبرگ', 'سالزبورغ', 'जाल्त्सबुर्ग', 'साल्ज़बोर्ग', 'সলজবুর্গ', 'સાલ્ઝબર્ગ', 'ಸಾಲ್ಜ್\u200cಬರ್ಗ್\u200c', 'ซาลซ์บูร์ก', 'ზალცბურგი', 'ザルツブルク', '柴尔兹孛格', '萨尔斯堡', '萨尔茨堡', '薩爾斯堡', '잘츠부르크']";EU
2766922;Saalfelden am Steinernen Meer;47.42681;12.848;AT;16790;Europe/Vienna;05;"['Saafelden', 'Saalfelden', 'Saalfelden am Steinernen Meer', 'Salfelden', ""Zal'fel'den-am-Shtajnernen-Meer"", 'Зальфельден-ам-Штайнернен-Меер']";EU
2768442;Pradl;47.26539;11.4152;AT;32588;Europe/Vienna;07;[''];EU
2769110;Perchtoldsdorf;48.11935;16.26607;AT;15047;Europe/Vienna;03;"['Paedaschduaf', ""Perkhtol'dsdorf"", 'Perkhtoldzdorf', 'Petersdorf', 'Pädaschduaf', 'pei xi tuo er ci duo fu', 'prshtwlsdwrf', 'Перхтолдздорф', 'Перхтольдсдорф', 'پرشتولسدورف', 'პერხტოლდსდორფი', '佩希托爾茨多夫']";EU
2769359;Ottakring;48.21667;16.3;AT;104627;Europe/Vienna;09;['Ottakring'];EU
2771335;Mödling;48.08605;16.28921;AT;20555;Europe/Vienna;03;['Medling', 'Medlingas', 'Mjodling', 'Moedling', 'Mödling', 'Mėdlingas', 'mdlyng', 'medlingi', 'mo de lin', 'mwdlyng', 'Медлинг', 'Мёдлинг', 'מדלינג', 'مودلینگ', 'მედლინგი', '默德林'];EU
2771706;Meidling;48.16667;16.33333;AT;97624;Europe/Vienna;09;['Meidling'];EU
2772173;Lustenau;47.42642;9.65851;AT;22821;Europe/Vienna;08;['Lustenau', 'lu si te nao', 'luseutenau', 'rusutenau', 'Лустенау', 'לוסטנאו', 'لوستن\u200cآئو', 'ლუსტენაუ', 'ルステナウ', '盧斯特瑙', '루스테나우'];EU
2772400;Linz;48.30639;14.28611;AT;204846;Europe/Vienna;04;['LNZ', 'Lentia', 'Linc', 'Linca', 'Lincas', 'Linec', 'Lints', 'Linz', 'lin ci', 'lincheu', 'lins', 'lintsa', 'lintsi', 'lnz', 'lynts', 'lyntz', 'lynz', 'rintsu', 'Λιντς', 'Линц', 'Лінц', 'Լինց', 'לינץ', 'لنز', 'لينتز', 'لینتس', 'लिंत्स', 'ลินซ์', 'ლინცი', 'リンツ', '林茨', '린츠'];EU
2773913;Klosterneuburg;48.30521;16.32522;AT;15614;Europe/Vienna;03;['Klostehrnojburg', 'Klosterneuberg', 'Klosterneuburg', 'Klosternoiburgas', 'Klosternojburg', 'Vajdlingbakh-und-Shajblinshtajn', 'ke luo si te xin bao', 'klwstrnwybwrg', 'kurosutanoiburuku', 'Вайдлингбах-унд-Шайблинштайн', 'Клостернойбург', 'Клостернојбург', 'Клостэрнойбург', 'کلوسترنویبورگ', 'کوسٹرنیوبرگ', 'კლოსტერნოიბურგი', 'クロスターノイブルク', '克洛斯特新堡'];EU
2774326;Klagenfurt am Wörthersee;46.62472;14.30528;AT;100316;Europe/Vienna;02;['Celovac', 'Celovec', 'Clagenfurtum', 'KLU', 'Klagenfurt', 'Klagenfurte', 'Klāgenfurte', 'ke la gen fu', 'kuragenfuruto', 'qlgnpwrt', 'Клагенфурт', 'קלגנפורט', 'クラーゲンフルト', '克拉根福'];EU
2775220;Innsbruck;47.26266;11.39454;AT;132493;Europe/Vienna;07;['INN', 'Innsbruck', 'Innschbruck', 'Insbruc', 'Insbruk', 'Insbruka', 'Insbrukas', 'Insmprouk', 'Inzbruk', 'Pons Aeni', 'ansbrwk', 'anzbrk', 'aynsbrwk', 'insabruka', 'inseubeulukeu', 'insuburukku', 'xin s brukh', 'yin si bei lu ke', 'yin si bu lu ke', 'İnnsbruck', 'İnsbruk', 'Ίνσμπρουκ', 'Інсбрук', 'Инзбрук', 'Инсбрук', 'Ինսբրուք', 'אינסברוק', 'إنسبروك', 'انزبرک', 'اینسبروک', 'इन्सब्रुक', 'ইন্সব্রুক', 'อินส์บรุค', 'ინსბრუკი', 'インスブルック', '因斯孛鲁克', '因斯布鲁克', '인스브루크'];EU
2775260;Innere Stadt;48.20906;16.37135;AT;16450;Europe/Vienna;09;['Inner City'];EU
2775479;Hötting;47.26815;11.36868;AT;35043;Europe/Vienna;07;[''];EU
2775742;Hohenems;47.36121;9.68694;AT;16317;Europe/Vienna;08;['Gogenems', 'HOH', 'Hohenems', 'Khoehnems', 'Khoenems', 'ho-enemseu', 'hoenemsi', 'hoenemusu', 'huo en ai mu si', 'hwhnms', 'Гогенемс', 'Хоенемс', 'Хоэнемс', 'هوهنمس', 'ჰოენემსი', 'ホーエネムス', '霍恩埃姆斯', '호에넴스'];EU
2776421;Hietzing;48.18623;16.2965;AT;54265;Europe/Vienna;09;[''];EU
2776488;Hernals;48.23333;16.26667;AT;57546;Europe/Vienna;09;['Hernals'];EU
2778067;Graz;47.06667;15.45;AT;295424;Europe/Vienna;06;['GRZ', 'Grac', 'Graca', 'Gracas', 'Graco', 'Gradac', 'Gradec', 'Graecia', 'Gratz', 'Graz', 'Grác', 'Gráz', 'Grāca', 'Nkrats', 'Qras', 'Styrsky Hradec', 'ge la ci', 'geulacheu', 'ghrats', 'grats', 'gratsa', 'gratsi', 'guratsu', 'kras', 'Štýrský Hradec', 'Γκρατς', 'Грац', 'Գրաց', 'גראץ', 'غراتس', 'گراتس', 'ग्रात्स', 'กราซ', 'გრაცი', 'グラーツ', '格拉茨', '그라츠'];EU
2779469;Floridsdorf;48.25;16.4;AT;162779;Europe/Vienna;09;['Floridsdorf'];EU
2779674;Feldkirch;47.23306;9.6;AT;33420;Europe/Vienna;08;"[""Fel'dkirkh"", 'Feldkirch', 'pldqyrk', 'Фельдкирх', 'פלדקירך']";EU
2780361;Eggenberg;47.07;15.39871;AT;20511;Europe/Vienna;06;['Eggenberg'];EU
2780741;Dornbirn;47.41427;9.74195;AT;49278;Europe/Vienna;08;['Dornbirn', 'Dornbirnas', 'HOH', 'Ntornmpirn', 'doleunbileun', 'dornbirni', 'dorunbirun', 'duo en bi en', 'dwrnbyrn', 'Ντόρνμπιρν', 'Дорнбирн', 'Дорнбірн', 'דורנבירן', 'درن\u200cبیرن', 'دورنبيرن', 'ڈارنبرن', 'ڈورنبیرن', 'დორნბირნი', 'ドルンビルン', '多恩比恩', '도른비른'];EU
2781503;Bregenz;47.50311;9.7471;AT;29806;Europe/Vienna;08;['Bregenc', 'Bregenca', 'Bregencas', 'Bregence', 'Bregencja', 'Bregenz', 'Brehgenc', 'Brenkentz', 'Brigantium', 'Brégence', 'Brēgenca', 'Brėgencas', 'XGZ', 'ber ken s', 'beulegencheu', 'bregenjha', 'bregentsi', 'brgnts', 'brgnz', 'bryghnz', 'brygnz', 'bu lei gen ci', 'buregentsu', 'Μπρέγκεντζ', 'Брегенц', 'Брэгенц', 'Բրեգենց', 'ברגנץ', 'بريغنز', 'برگنتس', 'برگنز', 'بریگنز', 'ब्रेगेन्झ', 'เบรเกนซ์', 'ბრეგენცი', 'ብሬገንጽ', 'ブレゲンツ', '布雷根茨', '브레겐츠'];EU
2782067;Baden;48.00543;16.23264;AT;26286;Europe/Vienna;03;['Baden', 'Baden bei Wien', 'Badenas', 'Badene pie Vines', 'Bādene pie Vīnes', 'badenbaibin', 'badeni', 'baden・bai・uin', 'badn nzdyk bh wyn', 'wei ye na ba deng', 'Баден', 'באדן', 'بادن نزدیک به وین', 'ბადენი', 'バーデン・バイ・ウィーン', '維也納巴登', '바덴바이빈'];EU
2782555;Amstetten;48.1229;14.87206;AT;15559;Europe/Vienna;03;['Amshheten', 'Amshteten', 'Amshtetten', 'Amsteta', 'Amšteta', 'Aumstettn', 'a mu shi tai teng', 'amshttn', 'amsyuteten', 'amushutetten', 'Амштетен', 'Амштеттен', 'Амщетен', 'آمشتتن', 'ამშტეტენი', 'アムシュテッテン', '阿姆施泰滕', '암슈테텐'];EU
8063098;Favoriten;48.16116;16.38233;AT;201882;Europe/Vienna;09;[''];EU
11903636;Donaustadt;48.2333;16.46002;AT;187007;Europe/Vienna;09;[''];EU
11903637;Jakomini;47.05441;15.44984;AT;32912;Europe/Vienna;06;[''];EU
11903638;Lend;47.08256;15.41589;AT;31147;Europe/Vienna;06;[''];EU
11903639;Geidorf;47.08393;15.444;AT;24767;Europe/Vienna;06;[''];EU
11903640;Sankt Leonhard;47.06924;15.45784;AT;15853;Europe/Vienna;06;[''];EU
11903641;Andritz;47.11387;15.42348;AT;19020;Europe/Vienna;06;[''];EU
11903642;Gries;47.06236;15.42421;AT;29363;Europe/Vienna;06;[''];EU
3041732;Mariehamn;60.09726;19.93481;AX;10682;Europe/Mariehamn;211;['MHQ', 'Maarianhamina', 'Marianhamina', 'Mariankhamina', 'Mariehameena', 'Mariehamn', 'Mariekhamn', 'Mariuhoefn', 'Mariyekhamn', 'Marrianhamina', 'Maríuhöfn', 'malieham', 'mariehamun', 'Мариехамн', 'マリエハムン', '마리에함'];EU
3186573;Zenica;44.20169;17.90397;BA;164423;Europe/Sarajevo;01;['Zenica', 'Zenicja', 'jenicha', 'se nit sa', 'ze ni cha', 'zenitsa', 'zenitsua', 'znyka', 'znytsa', 'znyzh', 'zynytsa', 'Зеница', 'Зениця', 'Զենիցա', 'זניצה', 'زنیتسا', 'زنیکا', 'زينيتسا', 'زینیتسا', 'เซนีตซา', 'ზენიცა', 'ゼニツァ', '泽尼察', '제니차'];EU
3187609;Visoko;43.98889;18.17806;BA;17890;Europe/Sarajevo;01;['Visokas', 'Visoko', 'bisoko', 'vuisoko', 'wei suo ke', 'Високо', 'ヴィソコ', '维索科', '비소코'];EU
